City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Portland,US,45.5234,-122.6762,75.13,54,20,1.01,few clouds
281,Berdigestyakh,RU,62.0989,126.6992,62.85,33,100,3.91,overcast clouds
282,Swift Current,CA,50.2834,-107.8014,52.61,58,1,8.05,clear sky
283,Caravelas,BR,-17.7125,-39.2481,72.03,95,2,2.35,clear sky
284,Leningradskiy,RU,69.3833,178.4167,36.66,67,100,0.63,overcast clouds
285,Pudozh,RU,61.8099,36.5345,49.06,82,95,8.5,moderate rain
286,Kavaratti,IN,10.5669,72.642,81.5,79,100,18.39,overcast clouds
287,Haltern,DE,51.743,7.1816,60.06,68,100,3.8,overcast clouds
288,Celaya,MX,20.5167,-100.8167,64.76,93,100,5.66,light rain
289,Prince Rupert,CA,54.3161,-130.3201,55.49,94,90,3.44,overcast clouds
290,Tuatapere,NZ,-46.1333,167.6833,48.81,83,88,6.8,light rain
291,Tieli,CN,46.95,128.05,58.87,94,100,3.87,light rain
292,Clyde River,CA,70.4692,-68.5914,29.88,85,67,6.38,broken clouds
293,Kirakira,SB,-10.4544,161.9205,80.58,81,87,8.97,overcast clouds
294,Taoudenni,ML,22.6783,-3.9836,91.78,12,0,4.72,clear sky
295,Lebu,CL,-37.6167,-73.65,46.24,89,100,8.12,overcast clouds
296,Kirksville,US,40.1948,-92.5833,73.06,83,1,6.91,clear sky
297,Smirnykh,RU,49.75,142.8333,69.19,50,0,6.64,clear sky
298,Lipin Bor,RU,60.2622,37.9763,47.07,89,98,10.22,light rain
299,Anqing,CN,30.5092,117.0506,82.54,62,49,10.16,scattered clouds
300,Tequila,MX,20.8833,-103.8333,70.18,97,100,1.34,overcast clouds
301,Iquitos,PE,-3.7481,-73.2472,71.64,94,75,8.05,thunderstorm with light rain
302,Coquimbo,CL,-29.9533,-71.3436,53.33,76,0,9.22,clear sky
303,Inhambane,MZ,-23.865,35.3833,67.98,94,20,0.0,mist
304,Nioaque,BR,-21.1353,-55.83,79.75,44,16,4.68,few clouds
305,Alghero,IT,40.5589,8.3181,60.89,88,0,4.61,clear sky
306,Cayenne,GF,4.9333,-52.3333,79.09,89,90,2.3,fog
307,Cartagena,CO,10.3997,-75.5144,80.22,83,40,6.91,scattered clouds
308,Sechura,PE,-5.5569,-80.8222,62.89,87,49,13.67,scattered clouds
309,Sinnamary,GF,5.3833,-52.95,78.08,86,100,8.37,overcast clouds
310,Sjovegan,NO,68.8726,17.8474,53.2,91,100,3.87,overcast clouds
311,San Patricio,US,28.017,-97.5169,84.85,73,45,8.23,scattered clouds
312,Kutum,SD,14.2,24.6667,74.17,62,64,3.74,broken clouds
313,Matamoros,MX,25.5333,-103.25,80.11,39,17,10.16,few clouds
314,Konstantinovka,RU,49.6167,127.9833,62.92,84,100,10.78,light rain
315,Flinders,AU,-34.5833,150.8552,70.88,47,1,8.72,clear sky
316,Champerico,GT,14.3,-91.9167,81.23,79,6,4.47,clear sky
